Date,value,value_classification,,
1694217600,41,Fear,,
1694131200,46,Fear,,
1694044800,41,Fear,,
1693958400,42,Fear,,
1693872000,40,Fear,,
1693785600,40,Fear,,
1693699200,40,Fear,,
1693612800,39,Fear,,
1693526400,40,Fear,,
1693440000,52,Neutral,,
1693353600,49,Neutral,,
1693267200,39,Fear,,
1693180800,39,Fear,,
1693094400,38,Fear,,
1693008000,38,Fear,,
1692921600,39,Fear,,
1692835200,41,Fear,,
1692748800,37,Fear,,
1692662400,37,Fear,,
1692576000,38,Fear,,
1692489600,37,Fear,,
1692403200,39,Fear,,
1692316800,37,Fear,,
1692230400,50,Neutral,,
1692144000,52,Neutral,,
1692057600,53,Neutral,,
1691971200,50,Neutral,,
1691884800,54,Neutral,,
1691798400,54,Neutral,,
1691712000,51,Neutral,,
1691625600,53,Neutral,,
1691539200,50,Neutral,,
1691452800,54,Neutral,,
1691366400,49,Neutral,,
1691280000,49,Neutral,,
1691193600,50,Neutral,,
1691107200,54,Neutral,,
1691020800,52,Neutral,,
1690934400,53,Neutral,,
1690848000,53,Neutral,,
1690761600,50,Neutral,,
1690675200,52,Neutral,,
1690588800,52,Neutral,,
1690502400,52,Neutral,,
1690416000,51,Neutral,,
1690329600,51,Neutral,,
1690243200,50,Neutral,,
1690156800,55,Greed,,
1690070400,54,Neutral,,
1689984000,52,Neutral,,
1689897600,50,Neutral,,
1689811200,56,Greed,,
1689724800,50,Neutral,,
1689638400,56,Greed,,
1689552000,54,Neutral,,
1689465600,57,Greed,,
1689379200,56,Greed,,
1689292800,60,Greed,,
1689206400,57,Greed,,
1689120000,64,Greed,,
1689033600,57,Greed,,
1688947200,56,Greed,,
1688860800,55,Greed,,
1688774400,58,Greed,,
1688688000,55,Greed,,
1688601600,56,Greed,,
1688515200,61,Greed,,
1688428800,64,Greed,,
1688342400,62,Greed,,
1688256000,63,Greed,,
1688169600,59,Greed,,
1688083200,56,Greed,,
1687996800,54,Neutral,,
1687910400,62,Greed,,
1687824000,59,Greed,,
1687737600,55,Greed,,
1687651200,64,Greed,,
1687564800,62,Greed,,
1687478400,65,Greed,,
1687392000,65,Greed,,
1687305600,59,Greed,,
1687219200,49,Neutral,,
1687132800,47,Neutral,,
1687046400,49,Neutral,,
1686960000,47,Neutral,,
1686873600,47,Neutral,,
1686787200,41,Fear,,
1686700800,46,Fear,,
1686614400,45,Fear,,
1686528000,47,Neutral,,
1686441600,47,Neutral,,
1686355200,49,Neutral,,
1686268800,50,Neutral,,
1686182400,50,Neutral,,
1686096000,53,Neutral,,
1686009600,44,Fear,,
1685923200,53,Neutral,,
1685836800,52,Neutral,,
1685750400,53,Neutral,,
1685664000,50,Neutral,,
1685577600,52,Neutral,,
1685491200,51,Neutral,,
1685404800,51,Neutral,,
1685318400,52,Neutral,,
1685232000,50,Neutral,,
1685145600,48,Neutral,,
1685059200,49,Neutral,,
1684972800,51,Neutral,,
1684886400,50,Neutral,,
1684800000,50,Neutral,,
1684713600,49,Neutral,,
1684627200,52,Neutral,,
1684540800,48,Neutral,,
1684454400,48,Neutral,,
1684368000,51,Neutral,,
1684281600,50,Neutral,,
1684195200,54,Neutral,,
1684108800,50,Neutral,,
1684022400,48,Neutral,,
1683936000,48,Neutral,,
1683849600,49,Neutral,,
1683763200,52,Neutral,,
1683676800,52,Neutral,,
1683590400,51,Neutral,,
1683504000,60,Greed,,
1683417600,64,Greed,,
1683331200,60,Greed,,
1683244800,61,Greed,,
1683158400,64,Greed,,
1683072000,64,Greed,,
1682985600,55,Greed,,
1682899200,63,Greed,,
1682812800,60,Greed,,
1682726400,64,Greed,,
1682640000,64,Greed,,
1682553600,59,Greed,,
1682467200,56,Greed,,
1682380800,53,Neutral,,
1682294400,53,Neutral,,
1682208000,56,Greed,,
1682121600,53,Neutral,,
1682035200,50,Neutral,,
1681948800,52,Neutral,,
